地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
灘区,幼保連携型認定こども園,幼保連携型認定こども園 神戸さくら保育園,私立,70,×,×,×,×,×,×,0,0,0,1,0,0,,1
灘区,幼保連携型認定こども園,幼保連携型認定こども園 微笑幼稚園,私立,10＊,,,,×,×,×,,,,0,0,0,,0
灘区,幼保連携型認定こども園,幼保連携型認定こども園 光愛児園,私立,105＊,×,×,×,×,×,×,1,4,1,4,0,0,,10
灘区,幼保連携型認定こども園,幼保連携型認定こども園 光愛児園sun分園 ※１,私立,25,×,×,×,,,,0,3,0,,,,,3
灘区,幼保連携型認定こども園,幼保連携型認定こども園 青谷愛児園,私立,90＊,×,×,×,×,×,×,0,2,1,3,2,0,,8
灘区,幼保連携型認定こども園,幼保連携型認定こども園 おおいしこども園,私立,70＊,×,×,×,×,×,○,2,3,0,8,0,0,,13
灘区,幼保連携型認定こども園,幼保連携型認定こども園 オリンピア都こども園,私立,90＊,×,×,×,×,×,×,2,3,4,0,1,1,,11
灘区,幼保連携型認定こども園,幼保連携型 めばえの園認定こども園,私立,90,×,×,×,×,×,×,1,11,8,2,3,1,,26
灘区,幼保連携型認定こども園,幼保連携型 めばえの園認定こども園すみれ分園 ※２,私立,12,×,×,,,,,0,3,,,,,,3
灘区,幼保連携型認定こども園,ゆりか認定こども園,私立,90＊,×,×,×,×,×,×,0,2,3,0,0,0,,5
灘区,幼保連携型認定こども園,幼保連携型認定こども園 六甲ゆりかごこども園,私立,60＊,×,×,×,×,○,○,1,2,0,0,0,0,,3
灘区,保育所,灘保育所,公立,110,○,×,○,×,×,○,2,2,0,3,0,0,,7
灘区,保育所,西灘保育所,公立,120,×,×,×,×,×,○,4,13,0,7,0,0,,24
灘区,保育所,石屋川保育所,公立,100,×,×,×,×,○,○,0,3,2,1,1,0,,7
灘区,保育所,倉石保育所,公立,90,×,×,×,×,×,×,0,5,0,3,0,0,,8
灘区,保育所,やはた桜保育所,公立,144,×,×,×,×,×,○,7,10,4,5,0,1,,27
灘区,保育所,やはた桜保育所 鶴甲分室,公立,30,,×,×,×,×,○,,3,0,2,0,0,,5
灘区,保育所,誠佛保育園,私立,60,,×,×,×,×,○,,0,1,0,0,0,,1
灘区,保育所,同朋保育園,私立,70,×,×,○,×,×,×,0,2,2,0,0,0,,4
灘区,保育所,花音つばさ保育園,私立,80,×,×,×,×,×,○,2,3,0,1,0,0,,6
灘区,保育所,琵琶COCORO保育園,私立,60,×,×,×,×,×,○,2,3,1,5,0,0,,11
灘区,保育所,ろっこうARIMA保育園,私立,60,×,×,×,×,×,○,1,6,2,4,0,0,,13
灘区,家庭的保育事業,赤ちゃんホーム なだのみ,私立,5,○,,,,,,0,,,,,,,0
灘区,家庭的保育事業,赤ちゃんホーム つぼみ,私立,4,○,,,,,,1,,,,,,,1
灘区,小規模保育事業,たんぽぽ,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,はらだ乳児園,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,コアラ愛児園,私立,19,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,めばえすくすくルーム,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園 六甲道,私立,19,×,×,○,,,,1,0,0,,,,,1
灘区,小規模保育事業,保育ルーム ちいさなCOCORO,私立,14,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,京進のほいくえんHOPPA灘園,私立,19,○,×,○,,,,0,0,0,,,,,0
灘区,小規模保育事業,キッズパートナー王子公園,私立,19,×,○,○,,,,0,0,0,,,,,0
灘区,小規模保育事業,ポピンズ小規模保育園HAT神戸,私立,19,○,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,神戸六甲キッズバルーン,私立,14,○,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,くじら保育園神戸六甲園,私立,19,×,×,×,,,,0,1,0,,,,,1
灘区,小規模保育事業,保育ルーム 琵琶ちいさなＣＯＣＯＲＯ,私立,14,×,×,×,,,,0,2,0,,,,,2
灘区,小規模保育事業,さくら園六甲道保育園,私立,19,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,なのは乳児園,私立,12,,○,○,,,,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園 クーラ,私立,18,○,×,○,,,,0,0,0,,,,,0
長田区,幼保連携型認定こども園,幼保連携型認定こども園 神戸保育園,私立,80*,×,×,×,×,○,○,3,3,1,1,0,0,,8
長田区,幼保連携型認定こども園,幼保連携型認定こども園 たから保育園,私立,110*,○,○,○,○,○,○,0,0,0,0,0,0,,0
長田区,幼保連携型認定こども園,幼保連携型認定こども園 神楽こども園,私立,80*,○,×,×,○,×,○,6,2,1,0,0,0,,9
長田区,幼保連携型認定こども園,神戸エンゼル認定こども園,私立,60*,○,×,×,×,○,○,1,1,0,1,0,0,,3
長田区,幼保連携型認定こども園,幼保連携型認定こども園 名倉幼稚園,私立,40*,,○,○,×,×,×,,0,0,1,0,0,,1
長田区,幼保連携型認定こども園,認定こども園 近田幼稚園,私立,130*,×,×,×,×,×,×,2,0,0,0,0,0,,2
長田区,幼保連携型認定こども園,幼保連携型認定こども園 新生こども園,公立,60,○,×,○,○,○,×,1,1,1,0,0,0,,3
長田区,幼保連携型認定こども園,幼保連携型認定こども園 五位の池こども園,公立,80,×,×,×,×,○,×,1,2,0,1,0,1,,5
長田区,幼保連携型認定こども園,幼保連携型認定こども園 ほそだ,公立,140＊,×,×,×,×,○,×,3,11,5,2,1,0,,22
長田区,保育所,長田保育所,公立,54,,×,○,○,×,○,,2,0,0,0,0,,2
長田区,保育所,菅原保育所,公立,120,×,×,×,○,○,○,1,4,0,1,1,0,,7
長田区,保育所,本庄保育所,公立,90,×,×,○,○,○,○,1,2,0,0,0,0,,3
長田区,保育所,駒栄保育所,公立,139,×,×,○,○,○,○,0,1,0,0,0,0,,1
長田区,保育所,房王寺保育所,公立,142,×,○,×,○,○,○,4,0,0,2,0,0,,6
長田区,保育所,明泉寺保育所,公立,120,×,○,○,○,○,○,1,0,0,0,0,0,,1
長田区,保育所,長田東保育所,公立,54,,×,○,○,○,○,,1,0,0,0,0,,1
長田区,保育所,浪松保育所,公立,120,,,,,,,,,,,,,,
長田区,保育所,しりいけ保育所,公立,120,○,○,○,○,○,○,0,0,0,0,0,0,,0
長田区,保育所,ふたば保育所,公立,139,×,×,×,×,×,○,4,0,1,0,0,0,,5
長田区,保育所,神視保育園,私立,154,×,×,×,○,○,○,5,1,1,0,0,0,,7
長田区,保育所,けやき保育園,私立,60,○,○,○,○,○,○,1,0,0,0,0,0,,1
長田区,保育所,みすまる保育園,私立,120,×,×,×,×,×,×,1,3,1,1,1,0,,7
長田区,家庭的保育事業,豊福 赤ちゃんホーム,私立,4,○,,,,,,1,,,,,,,1
長田区,小規模保育事業,こぐまプリスクール新長田園,私立,19,×,×,○,,,,0,1,0,,,,,1
西区,幼保連携型認定こども園,幼保連携型認定こども園 岩岡こども園 ※分園を含む※,※１ 私立,140＊,×,×,×,×,×,×,1,5,0,5,0,4,,15
西区,幼保連携型認定こども園,幼保連携型認定こども園 おっこう山,私立,90＊,×,×,×,×,×,×,3,0,0,1,5,1,,10
西区,幼保連携型認定こども園,幼保連携型認定こども園 あさひ保育園,私立,240＊,○,○,○,○,○,○,1,1,1,0,0,1,,4
西区,幼保連携型認定こども園,幼保連携型認定こども園 YMCA保育園 ※分園を含む※,※２ 私立,150＊,×,×,×,×,×,×,7,4,4,1,0,0,,16
西区,幼保連携型認定こども園,幼保連携型認定こども園 なごみ保育園,私立,90＊,○,×,×,×,×,○,0,2,1,0,0,0,,3
西区,幼保連携型認定こども園,幼保連携型認定こども園 西神戸YMCA保育園,私立,70＊,×,×,×,×,×,×,3,2,4,1,0,0,,10
西区,幼保連携型認定こども園,幼保連携型認定こども園 神戸潤和保育園,私立,60＊,×,×,×,×,×,×,3,3,1,2,1,0,,10
西区,幼保連携型認定こども園,幼保連携型認定こども園 神戸学園都市YMCAこども園,私立,80＊,×,×,×,×,×,×,0,3,5,1,0,0,,9
西区,幼保連携型認定こども園,認定こども園 ななほし保育園,私立,60＊,×,×,×,×,×,×,4,3,2,1,1,2,,13
西区,幼保連携型認定こども園,幼保連携型認定こども園 あい保育園,私立,150,×,×,×,×,×,×,3,3,2,1,1,0,,10
西区,幼保連携型認定こども園,幼保連携型認定こども園 あゆみ幼児園,私立,120＊,×,×,×,×,×,×,5,1,2,1,1,0,,10
西区,幼保連携型認定こども園,幼保連携型認定こども園 同朋にこにこ園 ※分園含む※,※３私立,188*,×,×,×,×,×,×,3,2,3,1,3,0,,12
西区,幼保連携型認定こども園,幼保連携型認定こども園 わらべ保育園,私立,80＊,×,×,×,×,×,×,2,0,0,0,0,0,,2
西区,幼保連携型認定こども園,幼保連携型認定こども園 有瀬幼稚園,私立,104*,○,○,○,○,×,×,3,2,5,0,2,0,,12
西区,幼保連携型認定こども園,幼保連携型認定こども園 弁天こども園,私立,90＊,×,×,×,×,×,×,1,1,1,1,1,0,,5
西区,幼保連携型認定こども園,幼保連携型認定こども園 平野保育園,私立,150＊,×,×,×,×,×,×,1,1,0,1,1,0,,4
西区,幼保連携型認定こども園,幼保連携型認定こども園 竹の台保育園,私立,150＊,×,×,×,×,×,×,0,1,2,2,1,0,,6
西区,幼保連携型認定こども園,幼保連携型認定こども園 つぐみ保育園,私立,181,×,×,×,×,×,×,10,10,3,0,1,1,,25
西区,幼保連携型認定こども園,幼保連携型認定こども園 ひまわりこども園,私立,110＊,×,×,×,×,×,×,2,2,0,0,0,0,,4
西区,幼保連携型認定こども園,幼保連携型認定こども園 学園幼稚園,私立,40＊,,,,×,×,○,,,,1,0,0,,1
西区,幼稚園型認定こども園,認定こども園 さくらんぼ幼稚園,私立,55＊,○,×,×,○,×,○,0,0,0,0,0,0,,0
西区,幼稚園型認定こども園,認定こども園 いぶき幼稚園,私立,60＊,,×,×,×,×,×,,3,13,0,5,0,,21
西区,幼稚園型認定こども園,認定こども園 桑ノ木幼稚園,私立,60＊,×,×,×,×,×,×,1,3,3,7,2,2,,18
西区,保育所,玉津保育所,公立,120,○,×,×,×,×,○,1,2,1,0,0,0,,4
西区,保育所,押部谷保育所,公立,126,○,○,○,○,○,○,1,0,0,0,0,0,,1
西区,保育所,王塚台保育所,公立,120,○,×,×,×,×,○,0,0,1,1,0,0,,2
西区,保育所,日輪寺保育園,私立,120,×,×,×,×,×,×,2,0,1,0,0,0,,3
西区,保育所,神出保育園,私立,90,×,×,×,×,×,×,3,0,0,0,0,0,,3
西区,保育所,出合保育園 ※分園含む※４,私立,160,×,×,○,○,○,○,2,0,2,0,0,0,,4
西区,保育所,持子保育園,私立,90,×,×,×,×,×,×,3,3,0,0,0,0,,6
西区,保育所,美賀多保育園,私立,210,×,×,×,×,×,×,3,2,2,3,1,1,,12
西区,保育所,まゆか保育園,私立,150,×,×,×,×,×,×,0,4,4,3,0,1,,12
西区,保育所,なかよし保育園 ※分園含む※５,私立,120,×,×,×,×,×,×,2,0,2,0,2,0,,6
西区,保育所,あおぞら保育園,私立,130,×,×,×,×,×,×,1,1,1,1,0,0,,4
西区,保育所,枦谷つぐみ保育園,私立,90,×,×,×,×,×,×,0,0,1,0,0,0,,1
西区,保育所,枝吉保育所,私立,120,×,×,×,×,×,×,1,2,0,0,0,0,,3
西区,保育所,井吹北つぐみ保育園 ※分園含む※６,私立,80,×,×,×,×,×,×,0,2,4,0,0,1,,7
西区,家庭的保育事業,山本 赤ちゃんホーム,私立,5,×,,,,,,0,,,,,,,
西区,家庭的保育事業,津吉 赤ちゃんホーム,私立,5,○,○,,,,,1,0,,,,,,
西区,小規模保育事業,こばとキンダールーム,私立,19,×,×,×,,,,0,0,0,,,,,
西区,小規模保育事業,西神中央エンゼルホーム,私立,19,○,×,×,,,,0,0,0,,,,,
西区,小規模保育事業,ＹＭＣＡちとせ保育ルーム,私立,12,,×,×,,,,,1,0,,,,,
西区,小規模保育事業,学園都市駅前小規模保育園,私立,12,×,×,×,,,,0,0,0,,,,,
西区,小規模保育事業,小規模保育園ふわり池上,私立,12,×,×,×,,,,1,0,0,,,,,
西区,小規模保育事業,小規模保育つぐみ House,私立,19,×,×,×,,,,0,0,0,,,,,
西区,小規模保育事業,キッズパートナー狩場台,私立,19,×,○,×,,,,0,0,0,,,,,
西区,小規模保育事業,小規模保育園ちゃいるどるーむ白水,私立,19,,×,×,,,,,0,0,,,,,
西区,小規模保育事業,おひさまぴっぴ,私立,9,×,×,×,,,,0,1,1,,,,,
西区,事業所内保育事業,ひかりのくれよん,私立,19（内地域枠5）,○,○,○,,,,0,0,0,,,,,
西区,事業所内保育事業,事業所内保育事業 みどり保育園,私立,20（内地域枠5）,○,○,○,,,,0,0,0,,,,,
西区,事業所内保育事業,ヤクルトキッズスクール西神戸,私立,19（内地域枠,×,×,×,,,,0,0,0,,,,,
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 若木こども園,私立,80*,×,×,×,○,○,○,0,1,1,0,0,0,,2
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 大手幼稚園,私立,40*,,,×,×,○,×,,,1,1,0,0,,2
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 西須磨幼稚園,私立,60*,,×,×,×,×,×,,6,4,0,1,0,,11
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 神戸YMCAちとせ幼稚園,私立,20*,,,,×,×,×,,,,1,2,2,,5
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 東須磨愛児園 ※分園含む ※１,私立,70,×,×,×,×,×,×,2,0,1,0,0,0,,3
須磨区,幼保連携型認定こども園,幼保連携型認定こども園 村雨こども園 ※分園含む ※2,私立,132*,×,×,×,×,×,○,1,9,4,1,0,0,,15
須磨区,幼稚園型認定こども園,認定こども園 禅昌寺幼稚園,私立,20*,,,,×,×,×,,,,1,0,1,,2
須磨区,保育所,須磨保育所,公立,232,×,×,×,○,○,○,4,8,4,0,0,0,,16
須磨区,保育所,たかとり保育所,公立,54,○,×,×,×,×,○,3,3,1,1,0,0,,8
須磨区,保育所,高倉台保育所,公立,90,○,○,×,○,○,○,0,0,2,0,0,0,,2
須磨区,保育所,太田共同保育園,私立,40,×,×,×,○,×,×,0,3,1,0,0,0,,4
須磨区,保育所,千歳保育園,私立,120,×,×,×,×,○,○,4,2,2,2,0,0,,10
須磨区,保育所,すまいる保育園,私立,90,○,○,○,○,○,○,5,3,1,1,0,0,,10
須磨区,保育所,いたやど保育園,私立,70,×,×,×,×,×,○,1,8,0,1,0,0,,10
須磨区,保育所,若宮保育園,私立,50,×,○,×,×,○,○,1,3,0,0,0,0,,4
須磨区,保育所,たかとりちどり保育園,私立,80,×,×,×,○,○,○,0,1,0,0,0,0,,1
須磨区,家庭的保育事業,大池 赤ちゃんホーム,私立,5,×,×,×,,,,1,0,0,,,,,1
須磨区,家庭的保育事業,林 赤ちゃんホーム,私立,4,×,×,,,,,0,0,,,,,,0
須磨区,家庭的保育事業,小原 赤ちゃんホーム,私立,4,×,,,,,,0,,,,,,,0
須磨区,小規模保育事業,村雨ほほえみ保育園,私立,19,×,×,×,,,,0,1,1,,,,,2
須磨区,家庭的保育事業,ヤクルトキッズスクール須磨,私立 1,9(内地域枠5),×,×,×,,,,0,0,0,,,,,0
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 多夢の森,私立,90＊,×,×,○,×,×,×,2,3,1,3,1,0,,10
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 夢の森,私立,60＊,○,×,×,×,×,×,0,0,0,0,0,0,,0
垂水区,幼保連携型認定こども園,幼保連携型 おとぎ認定こども園,私立,120＊,×,×,×,○,×,×,1,0,2,0,2,2,,7
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 花の森,私立,80＊,×,×,×,×,×,×,3,4,5,2,2,1,,17
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 心の森,私立,60＊,×,×,×,×,×,×,2,1,1,3,1,0,,8
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 明舞幼稚園,私立,70＊,,×,×,×,×,×,,3,1,0,0,0,,4
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 塩屋幼稚園,私立,80＊,,×,×,×,×,×,,4,0,0,0,0,,4
垂水区,幼保連携型認定こども園,幼保連携型小束山認定こども園,私立,120＊,×,×,×,×,×,×,1,5,1,2,0,0,,9
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 桃の木幼稚園,私立,120＊,×,×,×,×,×,×,1,2,5,1,2,0,,11
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 上高丸,私立,70＊,○,×,○,×,×,×,1,0,1,1,0,1,,4
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 舞子保育園,私立,130,×,×,×,×,○,×,5,5,3,4,0,1,,18
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 しおやこども園,私立,60＊,×,×,○,×,○,○,0,1,0,1,0,0,,2
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 かすみがおか虹こども園,私立,90＊,×,×,×,×,○,○,1,8,3,1,0,0,,13
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 たけのこども園 ※分園含む ※,※１ 私立,80＊,○,×,×,×,×,×,0,6,1,0,0,0,,7
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 多聞台こども園,私立,100＊,×,×,×,×,×,×,0,4,3,1,2,0,,10
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 たかつか保育園,私立,60＊,×,×,○,×,×,○,1,2,0,1,0,0,,4
垂水区,幼稚園型認定こども園,認定こども園 霞ヶ丘幼稚園,私立,50＊,,,×,○,×,×,,,6,0,2,2,,10
垂水区,幼稚園型認定こども園,認定こども園 湊川短期大学附属神陵台幼稚園,私立,30＊,,,,○,×,○,,,,0,0,0,,0
垂水区,幼稚園型認定こども園,認定こども園 湊川短期大学附属西舞子幼稚園,私立,50＊,,,×,×,×,×,,,1,7,3,3,,14
垂水区,幼稚園型認定こども園,認定こども園 聖マリアの園幼稚園,私立,10＊,,,,×,×,×,,,,0,0,0,,0
垂水区,保育所,奥ノ池保育所,公立,98,○,×,×,×,○,○,2,2,4,1,0,0,,9
垂水区,保育所,星陵台保育所,公立,57,,×,×,○,×,○,,3,2,0,0,0,,5
垂水区,保育所,本多聞保育所,公立,141,×,×,×,×,×,×,0,4,2,4,0,0,,10
垂水区,保育所,川原保育所,公立,116,×,×,×,×,○,○,3,2,3,2,0,0,,10
垂水区,保育所,東高丸保育所,公立,56,,×,×,×,○,○,,0,2,0,0,0,,2
垂水区,保育所,向陽保育所,公立,124,×,×,×,×,○,○,1,3,2,1,0,0,,7
垂水区,保育所,歌敷山保育園,私立,70,×,×,×,×,×,×,0,2,3,1,0,0,,6
垂水区,保育所,東垂水保育園,私立,60,×,×,×,×,×,×,0,1,0,0,0,0,,1
垂水区,保育所,滝の茶屋保育園,私立,90,×,×,○,×,×,×,4,0,1,1,0,0,,6
垂水区,保育所,学が丘保育園 ※分園含む ※２,私立,200,×,×,×,×,×,×,1,3,2,1,0,1,,8
垂水区,保育所,たるみ保育園,私立,140,×,○,×,○,×,×,3,5,7,0,0,0,,15
垂水区,保育所,ドレミキッズ保育園,私立,60,×,×,×,×,×,×,8,3,10,1,0,0,,22
垂水区,保育所,千鳥が丘親和保育園,私立,120,○,×,×,×,○,○,3,3,0,2,0,0,,8
垂水区,保育所,ことぶき保育園,私立,90,○,×,×,×,×,×,2,1,5,1,0,0,,9
垂水区,保育所,ひとまる保育園,私立,90,×,×,×,×,×,×,1,1,2,1,0,0,,5
垂水区,保育所,かすが保育園,私立,90,×,×,×,×,×,×,0,4,1,0,0,0,,5
垂水区,家庭的保育事業,岩崎 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
垂水区,家庭的保育事業,藤田赤ちゃんホームひまわり,私立,5,×,×,×,,,,0,0,0,,,,,0
垂水区,家庭的保育事業,きたぐち 赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
垂水区,家庭的保育事業,井口 赤ちゃんホームinジェームス山,私立,4,○,,,,,,0,,,,,,,0
垂水区,家庭的保育事業,はやし赤ちゃんホームin五色山,私立,5,×,×,×,,,,0,0,0,,,,,0
垂水区,家庭的保育事業,大塚 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
垂水区,小規模保育事業,ちっちゃなこども園ふたば,私立,12,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,本多聞小規模保育園,私立,12,○,×,×,,,,0,0,1,,,,,1
垂水区,小規模保育事業,青山台小規模保育園,私立,12,×,○,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,虹っこひろば,私立,12,×,×,×,,,,1,0,1,,,,,2
垂水区,小規模保育事業,小規模保育園 たるみ駅ナカ,私立,19,,×,×,,,,,4,1,,,,,5
垂水区,小規模保育事業,垂水駅前小規模保育園,私立,19,×,×,×,,,,0,1,0,,,,,1
垂水区,小規模保育事業,つくし,私立,19,×,×,×,,,,0,1,0,,,,,1
垂水区,小規模保育事業,小規模保育園CHES（チェス）,私立,12,×,○,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,ハープキッズ,私立,12,,×,×,,,,,1,0,,,,,1
垂水区,小規模保育事業,小規模保育園さくら,私立,19,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育園KOBILS,私立,19,○,○,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,小規模保育事業 花の森,私立,12,○,×,×,,,,0,1,1,,,,,2
垂水区,小規模保育事業,キッズブライト・ナーサリー垂水,私立,19,×,×,×,,,,0,2,0,,,,,2
垂水区,小規模保育事業,ちっちゃなこども園よつば,私立,19,×,○,×,,,,1,0,0,,,,,1
垂水区,小規模保育事業,小規模保育園ちゃいるどるーむ,私立,19,×,×,×,,,,0,0,0,,,,,0
垂水区,小規模保育事業,舞多聞きらら保育園,私立,19,○,×,×,,,,0,3,0,,,,,3
垂水区,小規模保育事業,こぐまプリスクール舞子園,私立,19,×,×,○,,,,0,0,0,,,,,0
垂水区,事業所内保育事業,いるか保育園,私立,12（内地域枠4）,×,×,×,,,,0,0,0,,,,,0
垂水区,事業所内保育事業,オービーホームキッズ,私立,12(内地域枠5),×,×,×,,,,1,0,0,,,,,1
垂水区,事業所内保育事業,ハートランド・きっず,私立,25(内地域枠10),×,×,×,,,,0,0,0,,,,,0
