保育所・認定こども園・地域型保育事業　施設一覧（２号・３号認定子ども用） 平成28年9月20日時点,,,,,,,,,,,,,,,,,
所在区,,分類,施設名,組織,利用定員 （2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間）,,保育短時間（８時間）,,延長保育,,一時預かり （一時保育）,園庭開放
,,,,,,,,,,開始 時間,終了 時間,開始 時間,終了 時間,開始時間 （朝）,終了時間 （夕）,,
,,,,,,,,,,,,,,,,,
東 　 　 灘 　 　 区,,幼保連携型認定こども園,幼保連携型認定こども園　聖ニコラス天使園,（福）,90＊,北青木４－１－３７,412-6080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
,,,幼保連携型認定こども園　夢,（福）,100＊,住吉宮町１－２－２７,858-9614,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　夢遊喜分園　※１,（福）,60＊,住吉宮町１－８－８,858-9610,,,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　石屋川くるみ保育園,（福）,70,御影塚町２－２２－１９,842-4152,生後５７日,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　本山北町あすのこども園,（福）,150＊,本山北町３－２－２８,441-1905,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,,○
,,,認定こども園　魚崎COCORO,（福）,120＊,魚崎西町２－４－１,858-5561,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,幼保連携型認定こども園　きらり保育園,（福）,100,本庄町１－３－１,412-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　きたおおぎこども園,（福）,130,北青木１－１－２,411-5421,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,認定こども園　松蔭おかもと保育園,（福）,60＊,岡本７－３－１４,262-1150,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　第２きらり保育園,（福）,72,深江本町１－１３－２５,411-2003,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,幼保連携型認定こども園　同朋住吉台こども園,（福）,50＊,住吉台２５－７,846-6011,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,,幼保連携型認定こども園　甲南すこやかこども園,（福）,90＊,魚崎北町２－１０－１０,453-4152,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,幼保連携型認定こども園　モーツァルトこども園,（福）,90＊,本山南町８－３－３,431-3111,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,認定こども園　あおい宙,（福）,90＊,本山南町７－５－２１,441-2444,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,幼保連携型認定こども園　甲南こども園,（福）,60,森南町３－１－４,441-8345,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,（仮称）光の子認定こども園,（福）,201＊,向洋町中２－３,857-1577,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,○,○
,,,（仮称）光の子認定こども園マナ分園　※２,（福）,20,向洋町中５－１３,811-1132,,,7:00,18:00,8:00,16:00,7:00,19:00,,
,,,（仮称）光の子認定こども園リジョイス分園※２,（福）,9,向洋町中１－４－１２５ イーストコート4番街１Ｆ,857-1125,,,7:00,18:00,8:00,16:00,7:00,19:00,,
,,,（仮称）幼保連携型認定こども園　虹こども園　,（福）,90＊,深江本町４－１－１２,413-4124,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,（仮称）幼保連携型認定こども園　おかもと虹こども園,（福）,70＊,岡本３－２－６,412-2262,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,幼稚園型認定こども園,認定こども園　夢の星幼稚園,(学),20＊,向洋町中３－１－３,857-3166,３歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
,,保育所,魚崎保育所,（公立）,116,魚崎南町２－１１－１１,411-4354,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,東灘本庄保育所,（公立）,117,青木４－１－３２,431-3539,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,御影保育所,（公立）,120,御影中町４－１－８,811-3780,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,本山保育所,（公立）,142,岡本１－７－６,451-0567,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,渦森台保育所,（公立）,63,渦森台１－１３－１,841-6390,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
,,,中野保育所,（公立）,120,本山南町１－３－３,453-2664,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,瀬戸保育所,（公立）,138,魚崎南町６－５－２６,453-2663,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,田中保育所,（公立）,100,田中町４－１１－２２,452-3181,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,浜御影保育所,（公立）,90,御影本町６－５－７,821-9571,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
,,,住吉公園保育所,（公立）,120,住吉宮町３－４－２３,851-3738,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,ベネッセ本山保育園,（株）,60,甲南町１－１－３５,412-7170,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,20:00,○,○
,,,親和保育園,（福）,90,住吉本町３－８－１７,846-4701,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,岡本ハーベスト保育園,（福）,90,岡本１－１１－５,413-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
,,,高羽西岡本保育園,(学),30,西岡本２－２５－４－１０２,436-7885,１歳児クラス,３歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,甲南山手保育園,（福）,80,本庄町１－１０－２,441-0003,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
,,,御影のどか保育園,（福）,90,御影３－２８－１,851-6261,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,住吉むつみ保育園,（福）,90,住吉宮町７－２－３５,843-6230,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
,,,住吉むつみ保育園　分園　※３,（福）,9,住吉本町２－３－９,843-6232,,,7:00,18:00,9:00,17:00,7:00,19:00,,
,,,ABCみかげ保育園,（福）,60,御影本町６－１－１５,856-5158,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
,,,ブルーノの森保育園,（学）,60,北青木２－９－２４,411-8048,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
,,,神戸住吉保育園,(福),80,住吉宮町６－１－２３,858-6080,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
,,家庭的保育事業,澤田　赤ちゃんホーム,（個人）,4,御影石町２－１１－５,※,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
,,,中村　赤ちゃんホーム,（個人）,4,岡本８,※,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
,,小規模保育事業,あおい宙　もとやま,（福）,9,田中町２－１－１ 本山合同宿舎１Ｆ,855-5432,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,あすの乳児ルーム,（福）,19,本山南町８－６－２６　東神戸センタービル２Ｆ,413-6602,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
,,,小規模保育園ハピネスファミリー,（一社）,12,向洋町中５－１５ リバーモールウエスト２F,862-3983,満１歳,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,茶屋本庄園,（福）,12,本庄町１－８－１３ オルテンシアKOBE１F,413-3336,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,キッズクラブ本山南,（医）,19,本山南町８－６－２６ 東神戸センタービル２Ｆ,411-1060,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
,,,チャイルドハート保育サロン甲南園,（株）,14,甲南町３－２－２ ラ・ギャレットビル１F,431-5661,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
,,,あおい宙　こうなん,（福）,12,甲南町３－３－２７ ロイヤル甲南１F,436-1233,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
,,,RICホープ御影,（株）,19,御影中町４－１－３１ サニーハイツ御影１F,262-1860,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
,,,御影小規模保育ルーム,（学）,19,御影２－１５－２７,843-2780,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,,
,,,はぴふぁみえるあ 小規模保育園 Lino,（一社）,12,向洋町中５－１５　リバーモールウエスト２Ｆ,862-5065,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,コスモチャイルド保育園神戸東灘園,(株),19,本山中町１-１-１２　チタンビル１Ｆ,452-0220,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
,,,甲南やまゆり保育園,(医社),19,甲南町３－６－１８　ドゥベル甲南２Ｆ,412-0077,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
,,,京進のほいくえんHOPPA東灘園,（株）,12,田中町５－１－１２　東灘スカイマンション1F,262-1347,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,〇,
,,,（仮称）深江けやきの木小規模保育園,（一社）,15,深江北町４-１１-６　ワコーレ深江駅前ハーモニーガーデン１F,開設予定,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,,
,,,（仮称）京進のほいくえんHOPPA甲南山手園,（株）,12,森南町3-1-7　ダンディライオン東灘　１F,開設予定,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
,,事業所内保育事業,（仮称）コープこうべの保育園　どんぐり,（生協）,19 (内地域枠12),田中町2-9-10　サービス付き高齢者向け住 宅　コープは～とらんどハイム本山１F,開設予定,生後４か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
,,,（仮称）事業所内保育事業所　本山中,（医）,20 (内地域枠5),本山中町4-1-8　宮地病院４F,開設予定,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
＊は、別途、１号認定子どもの利用定員を設けています。 ※１　幼保連携型認定こども園　夢は０～３歳児を全員本園で、４・５歳児を夢遊喜分園で、教育・保育を行います。 ※２　（仮称）光の子認定こども園マナ分園及びリジョイス分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。） ※３　住吉むつみ保育園分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）,,,,,,,,,,,,,,,,,
