分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始,終了,保育短時間（８時間） 開始,終了,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
保育所,有馬保育園,（福）,90,有馬町１６４４,904-4190,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,大池保育園,（宗）,70,西大池１－２１－１１,583-0101,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ひとみ保育園,（福）,120,藤原台北町６－１８－３６,984-2468,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,オリンピア神戸北保育園,（福）,130,上津台６－１－１,986-0820,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,岡田　赤ちゃんホーム,（個人）,5,西山１,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,いつくしみ愛児園,（宗）,19,道場町日下部１６１６,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
小規模保育事業,しんてつ・おかば園,（株）,12,有野町有野２２６１－２,981-8201,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,パンダこうとく保育園,（福）,12,淡河町野瀬４５７－１,958-0575,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
小規模保育事業,小規模保育 かがやき保育園,(宗),12,道場町日下部１６１５－２,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
小規模保育事業,こぐまプリスクール北神戸園,(特非),16,八多町中１１５０　グリーンガーデンモール北神戸内,951-1718,１歳児クラス,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
事業所内保育事業,いちご保育園（恒生病院）,（医）,19 （内地域枠5）,道場町日下部１６６４,950-2622,生後６か月,２歳児クラス,8:00,19:00,9:00,17:00,8:00,19:00,,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　神戸保育園,（福）,80*,水笠通３－４－１４,621-2855,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　たから保育園,（福）,110*,東尻池町４－１３－１１,651-5211,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神楽こども園,（福）,80*,神楽町２－２－２９,691-4600,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,神戸エンゼル認定こども園,（福）,60*,長楽町４－４－３,732-7887,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　近田幼稚園,（学）,100*,駒栄町４－１－１１,611-1344,生後１１か月,５歳児クラス,8:00,19:00,8:00,16:00,7:00,20:00,○,○
幼稚園型認定こども園,認定こども園　名倉幼稚園,（学）,40*,長田天神町１－１７－１３,691-0473,１歳児クラス,５歳児クラス,8:00,19:00,8:00,16:00,7:00,19:00,,○
保育所,長田保育所,（公立）,54,大塚町１－１－３１,691-7243,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,菅原保育所,（公立）,120,菅原通１－７２－１,576-0234,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,本庄保育所,（公立）,90,本庄町６－６－３,731-5803,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,駒栄保育所,（公立）,139,駒栄町３－１－１７,641-7555,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,房王寺保育所,（公立）,142,房王寺町５－１－５－１００,643-2301,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,明泉寺保育所,（公立）,120,明泉寺町１－６－８,641-4700,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,長田東保育所,（公立）,54,四番町３－４－４９,577-7536,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,浪松保育所,（公立）,120,浪松町２－１－７,731-5540,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,しりいけ保育所,（公立）,120,東尻池町６－３－３７,651-4192,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,ふたば保育所,（公立）,139,二葉町７－１－３０,621-8561,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,新生保育園,（福）,60,平和台町２－１－２３,621-3954,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,神視保育園,（福）,110,三番町４－８,576-4249,２歳児クラス,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,,○
保育所,天隣乳児保育園,（福）,50,三番町４－８,576-7171,生後６か月,１歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
保育所,けやき保育園,（福）,60,大日丘町３－１０－９,643-0112,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,みすまる保育園,（福）,120,池田広町３,691-6220,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,五位の池保育園,（福）,80,五位ノ池町２－１－９,621-1801,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ほそだ保育園,（福）,140,細田町５－２－４,642-0395,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,豊福　赤ちゃんホーム,（個人）,4,宮川町４－８－７,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,こぐまプリスクール新長田園,（特非）,19,若松町３－１－２　アスタピア駅前通り２Ｆ,642-7328,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,20:00,○,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,（福）,80*,若木町１－２―２９,734-6281,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,（学）,40*,大手町７－１－１,731-0128,２歳児クラス,５歳児クラス,7:30,18:30,7:30,15:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　西須磨幼稚園,（学）,60*,桜木町２－２－１,731-2922,１歳児クラス,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,（学）,20*,高倉台４－１２,732-3542,３歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　禅昌寺幼稚園,（学）,20*,禅昌寺町２－５－１,732-0944,３歳児クラス,５歳児クラス,－,18:30,9:00,17:00,8:30,18:00,,○
保育所,須磨保育所,（公立）,232,大黒町４－１－２,732-4842,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,たかとり保育所,（公立）,54,行平町２－２－１７,733-4000,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,高倉台保育所,（公立）,90,高倉台４－１－３,734-0092,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,東須磨愛児園　本園,（福）,40,若木町３－６－２５,733-7712,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,東須磨愛児園　分園,（福）,30,若木町３－７－３,733-7712,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,太田共同保育園,（福）,40,大黒町５－２ー１３,736-3688,生後６か月,３歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,千歳保育園,（福）,120,千歳町４－３－３６,735-0761,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,村雨保育園,（福）,120,行幸町１－２－２６,733-4363,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,村雨保育園愛分園,（福）,12,行幸町１－２－５　メゾン須磨２０００１F,735-7008,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,すまいる保育園,（福）,90,高倉町１－６－２４,731-7076,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,いたやど保育園,（福）,70,大田町１－３－２４,735-3660,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,若宮保育園,（福）,50,若宮町３－３-１７,735-3277,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,たかとりちどり保育園,（福）,80,大池町５－１０－１５,732-2500,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,大池　赤ちゃんホーム,（個人）,5,戎町５,,生後７週目,２歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,林　赤ちゃんホーム,（個人）,4,東町２,,生後７週目,２歳児クラス,-,-,8:00,16:00,8:00,18:30,,
家庭的保育事業,小原　赤ちゃんホーム,（個人）,4,飛松町４,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
事業所内保育事業,ヤクルトキッズスクール須磨,（株）,19 (内地域枠5),離宮西町１-１-１３　須磨離宮前プラザ２F,767-8960,生後６か月,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,
幼保連携型認定こども園,幼保連携型認定こども園　のぞみ保育園,（福）,170*,西落合７－１－１,791-8446,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　若竹保育園,（福）,120*,南落合３－９－１,793-1112,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　名谷みどりこども園,（福）,120*,中落合２－３－２,797-7077,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,20:00,○,○
保育所,菅の台保育所,（公立）,133,菅の台４－６,791-0678,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,竜が台保育所,（公立）,139,竜が台１－１１,792-8830,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,北須磨保育園,（福）,110,友が丘３－１０７,792-0674,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,あじさい保育園,（福）,60,白川台４－２０－２０,792-2345,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,やまびこ保育園,（福）,150,北落合２－１１－１５,791-3369,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,○,○
保育所,くすの木保育園,（福）,180,横尾１－１０,743-1888,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,北須磨第２保育園,（福）,80,妙法寺字荒打３００－１,743-4780,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,堀切　赤ちゃんホーム,（個人）,5,東白川台５,,生後７週目,０歳児クラス,-,-,8:00,16:00,7:30,17:30,,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　多夢の森,（福）,90＊,南多聞台４－４－５０,787-0939,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　夢の森,（福）,60＊,高丸６－３－１,704-3008,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型　おとぎ認定こども園,（福）,120＊,美山台２－１－３,753-1126,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　花の森,（福）,80＊,名谷町１９４１－１,791-0601,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　心の森,（福）,60＊,清水ヶ丘３－１－１６,787-3500,生後５７日,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　明舞幼稚園,（学）,70＊,狩口台５－１４－１,781-2345,１歳児クラス,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　塩屋幼稚園,（学）,80＊,塩屋町９－２２－３,751-4114,１歳児クラス,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型小束山認定こども園,（福）,120＊,小束山本町２－１３－１,783-0003,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　桃の木幼稚園,(学),120＊,桃山台３－２３－２,753-0123,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　上高丸,（福）,70＊,高丸８－１５－１２,709-4018,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　霞ヶ丘幼稚園,（学）,50＊,五色山８－２－２９,706-0055,２歳児クラス,５歳児クラス,8:00,19:00,8:00,16:00,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　湊川短期大学附属神陵台幼稚園,（学）,30＊,神陵台５－８－６,781-5321,満３歳,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　湊川短期大学附属西舞子幼稚園,（学）,50＊,南多聞台５－８－１,781-1558,2歳児クラス,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　聖マリアの園幼稚園,(学),10＊,舞子台８－２０－２,781-7181,満３歳,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
保育所,奥ノ池保育所,（公立）,98,狩口台３－１－５,781-6163,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,星陵台保育所,（公立）,57,星陵台８－１３－１,783-1434,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,本多聞保育所,（公立）,141,本多聞４－１－２,784-0213,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,川原保育所,（公立）,116,川原２－１－１３,753-4775,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,東高丸保育所,（公立）,56,東垂水１－１－３,753-5366,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,向陽保育所,（公立）,124,向陽１－３－２５,708-0544,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,舞子保育園,（福）,130,西舞子２－１２－２７,782-6341,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,○,○
保育所,歌敷山保育園,（福）,70,歌敷山２－５－９,707-3369,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
保育所,東垂水保育園,（福）,60,山手７－４－７,753-1902,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,塩屋保育園,（福）,60,塩屋町３－２３－１,753-4334,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,滝の茶屋保育園,（福）,90,城が山１－６－２２,753-3634,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,学が丘保育園,（福）,150,学が丘４－９－１０,781-0303,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,学が丘保育園分園,（福）,50,学が丘４－６－１,783-6811,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,,
保育所,たるみ保育園,（福）,140,平磯４－５－１４,707-5888,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
保育所,ドレミキッズ保育園,（株）,60,舞子台２－９－５,784-8881,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
保育所,千鳥が丘親和保育園,（福）,120,千鳥が丘３－２３－２５,705-2440,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ことぶき保育園,（福）,90,福田４－６－１８,708-4882,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ひとまる保育園,（福）,90,本多聞１－２０－４０,784-5984,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,かすみがおか虹保育園,（福）,90,霞ヶ丘１－６－１９,707-5554,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,たけの保育園,（福）,60,山手２－３－１８,753-7777,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,たけの保育園そら分園,（福）,20,中道２－３－５,755-1313,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
保育所,かすが保育園,（福）,90,北舞子２－５－１４,781-5888,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,多聞台保育園,（福）,100,多聞台３－９－１３,781-2286,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,たかつか保育園,（福）,60,小束山手１－２４－１,795-2424,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,岩崎　赤ちゃんホーム,（個人）,5,多聞台２,,生後７週目,,-,-,8:00,16:00,8:00,18:30,,
家庭的保育事業,藤田赤ちゃんホームひまわり,（個人）,5,仲田３－３－１３,,生後７週目,２歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,,
家庭的保育事業,きたぐち　赤ちゃんホーム,（個人）,4,西舞子４,,生後７週目,０歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,
家庭的保育事業,井口　赤ちゃんホームinジェームス山,（個人）,4,青山台１－５－６,,生後７週目,,-,-,8:00,16:00,8:00,18:00,,
家庭的保育事業,はやし赤ちゃんホームin五色山,（個人）,5,五色山７－４－１７,,生後７週目,２歳児クラス,7:00,18:00,8:00,16:00,7:00,20:00,,
家庭的保育事業,大塚　赤ちゃんホーム,（個人）,5,千鳥が丘３－１５－２１,,生後７週目,０歳児クラス,-,-,8:00,16:00,7:30,18:00,,
小規模保育事業,ちっちゃなこども園ふたば,（特非）,12,舞多聞東２−６−９,784-5333,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,本多聞小規模保育園,（福）,12,本多聞３－５－２３－１０２,785-8020,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
小規模保育事業,青山台小規模保育園,（福）,12,青山台４－８－１８　青山台モリビル２F,742-8636,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
小規模保育事業,虹っこひろば,（特非）,12,王居殿３－１９－５,752-3282,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,○,
小規模保育事業,小規模保育園　たるみ駅ナカ,（福）,19,神田町１－２０　ＪＲ垂水駅（西口）構内,708-3600,満１歳,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,
小規模保育事業,垂水駅前小規模保育園,（福）,19,神田町２－３１　タケミカビル２Ｆ,754-6660,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
小規模保育事業,つくし,(学),19,星が丘２－１－６５,709-5656,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,○,
小規模保育事業,小規模保育園CHES（チェス）,（株）,12,清水通３－１０　シャルマンフジ神戸壱番館１F,754-7500,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,ハープキッズ,（株）,12,舞子台２－９－５,783-7733,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
小規模保育事業,小規模保育園さくら,（福）,19,舞子台６－２０－２０,747-0761,生後６か月,２歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
小規模保育事業,小規模保育園KOBILS,(株),12,桃山台４－４－１３,766-5795,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,
小規模保育事業,小規模保育事業　花の森,（福）,12,名谷町字大谷１９０５－７　アーバンヴィレッジ学園南２F,742-6090,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,キッズブライト・ナーサリー垂水,(一社),19,天ノ下町１０－５　シルバーウィリアムス１F,707-2620,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,ちっちゃなこども園よつば,（特非）,19,舞多聞西５－１１－１,784-5333,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,小規模保育園ちゃいるどるーむ,(特非),19,神陵台７-１３-１７,781-6016,生後６か月,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,
事業所内保育事業,いるか保育園,（一社）,12 （内地域枠4）,学が丘１－１９－８,781-2611,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,,
事業所内保育事業,オービーホームキッズ,(福),12 (内地域枠5),名谷町字猿倉273-7　特別養護老人ホームオービーホーム新館１F,706-0017,生後９週目,２歳児クラス,7:00,18:00,8:30,16:30,7:00,19:30,,
事業所内保育事業,ハートランド・きっず,(有),25 (内地域枠10),舞子台７－３－８　有料老人ホーム／ハートランド舞子台４F,781-9191,生後７週目,２歳児クラス,8:00,19:00,8:30,16:30,8:00,19:00,,
